sample,"o,p'-DDD","o,p'-DDE","o,p'-DDT","p,p'-DDD","p,p'-DDE","p,p'-DDT"
N2_3uM_DDT_1,0.0000054,0.0000021,0.0000015,0.0000204,0.0001122,0.0004986
N2_3uM_DDT_2,0.0000055,0.000002125,0.000001375,0.000019875,0.000096125,0.0004865
N2_3uM_DDT_3,0.000004375,0.000001875,0.000001625,0.000017875,0.00008575,0.000475
N2_DMSO_1,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD
N2_DMSO_2,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD
N2_DMSO_3,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD
BR5271_3uM_DDT_1,0.00002325,0.00000075,0.00000525,0.000007375,0.00007725,0.00082575
BR5271_3uM_DDT_2,0.00002655,0.00000075,0.0000066,0.00000825,0.00008055,0.0009087
BR5271_3uM_DDT_3,0.0000215,0.000001125,0.000004875,0.0000075,0.0000805,0.000797375
BR5271_DMSO_1,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD
BR5271_DMSO_2,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD
BR5271_DMSO_3,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD
BR5270_3uM_DDT_1,0.0000021,0.0000012,0.0000009,0.0000057,0.00003405,0.00034725
BR5270_3uM_DDT_2,0.0000024,0.0000009,0.0000009,0.00000615,0.00003525,0.00036975
BR5270_DMSO_1,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD
BR5270_DMSO_2,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD
N2_0.3uM_DDT_1,0.0000056,0.0000006,0.0000008,0.0000023,0.0000063,0.0002627
N2_0.3uM_DDT_2,0.0000052,0.0000005,0.0000011,0.0000025,0.0000054,0.0002562
N2_0.3uM_DDT_3,0.0000062,0.0000005,0.000001,0.0000025,0.0000069,0.0003013
N2_30uM_DDT_1,0.0000091,0.0000004,0.0000127,0.0000075,0.0002301,0.0012787
N2_30uM_DDT_2,0.0000102,0.0000004,0.0000135,0.0000063,0.000212,0.0012835
N2_30uM_DDT_3,0.0000103,0.0000006,0.0000123,0.000007,0.000214,0.0013616
N2_0.3uM_DDT_5000,0.00000591,0.00000018,0.00000189,0.00000252,0.000009,0.00026868
N2_30uM_DDT_5000,0.00000885,0.00000009,0.00001191,0.00000621,0.00019203,0.00130452
