trt	time.point	rep	eth	but	ori	tot	ci	strain	run
DDT	0hr	A	0	94	3	99	0.97917	BR5271	2
DDT	0hr	B	0	51	0	51	1	BR5271	2
DDT	0hr	C	1	51	0	52	0.96154	BR5271	2
DDT	30min	A	0	15	0	17	0.88235	BR5271	2
DDT	Naive	A	4	21	2	35	0.51515	BR5271	2
DDT	Naive	B	0	19	0	25	0.76	BR5271	2
DDT	Naive	C	4	9	6	22	0.3125	BR5271	2
DMSO	0hr	A	0	83	0	90	0.92222	BR5271	2
DMSO	0hr	B	0	208	0	213	0.97653	BR5271	2
DMSO	0hr	C	1	137	0	142	0.95775	BR5271	2
DMSO	NA	A	0	18	0	18	1	BR5271	2
DMSO	NA	B	0	16	0	18	0.88889	BR5271	2
DMSO	NA	A	0	2	0	2	1	BR5271	2
DMSO	30min	A	3	70	1	76	0.89333	BR5271	2
DMSO	30min	B	0	47	0	50	0.94	BR5271	2
DMSO	30min	C	0	71	0	73	0.9726	BR5271	2
DMSO	Naive	A	9	21	0	50	0.24	BR5271	2
DMSO	Naive	B	33	69	4	146	0.25352	BR5271	2
DMSO	Naive	C	31	74	3	149	0.29452	BR5271	2
DDT	0hr	A	0	106	0	108	0.98148	BR5271	1
DDT	0hr	B	0	48	0	48	1	BR5271	1
DDT	0hr	C	0	51	0	52	0.98077	BR5271	1
DDT	30min	A	0	37	2	39	1	BR5271	1
DDT	Naive	A	81	66	0	201	-0.074627	BR5271	1
DDT	Naive	B	57	63	4	172	0.035714	BR5271	1
DDT	Naive	C	34	39	4	91	0.057471	BR5271	1
DMSO	0hr	A	0	130	1	140	0.93525	BR5271	1
DMSO	0hr	B	0	154	0	156	0.98718	BR5271	1
DMSO	0hr	C	1	165	6	177	0.95906	BR5271	1
DMSO	30min	A	1	90	0	94	0.94681	BR5271	1
DMSO	30min	B	2	103	0	107	0.94393	BR5271	1
DMSO	Naive	A	85	74	5	212	-0.05314	BR5271	1
DMSO	Naive	B	91	117	6	298	0.089041	BR5271	1
DMSO	Naive	C	51	66	3	130	0.11811	BR5271	1
DDT	Naive	1	1	8	20	71	0.13725490196078433	BR5270	2
DDT	Naive	2	0	1	12	27	0.06666666666666667	BR5270	2
DDT	Naive	3	1	2	12	46	0.029411764705882353	BR5270	2
DMSO	Naive	1	20	30	4	109	0.09523809523809523	BR5270	2
