trt	time.point	rep	eth	but	ori	tot	ci	strain	run	keep	group
DDT	Naive	C	4	9	6	22	0.3125	BR5271	2	3	BR5271_DDT_C_2
DMSO	Naive	A	9	21	0	50	0.24	BR5271	2	3	BR5271_DMSO_A_2
DMSO	Naive	B	33	69	4	146	0.25352	BR5271	2	3	BR5271_DMSO_B_2
DMSO	Naive	C	31	74	3	149	0.29452	BR5271	2	3	BR5271_DMSO_C_2
DDT	Naive	A	81	66	0	201	-0.074627	BR5271	1	3	BR5271_DDT_A_1
DDT	Naive	B	57	63	4	172	0.035714	BR5271	1	3	BR5271_DDT_B_1
DDT	Naive	C	34	39	4	91	0.057471	BR5271	1	3	BR5271_DDT_C_1
DMSO	Naive	A	85	74	5	212	-0.05314	BR5271	1	3	BR5271_DMSO_A_1
DMSO	Naive	B	91	117	6	298	0.089041	BR5271	1	3	BR5271_DMSO_B_1
DMSO	Naive	C	51	66	3	130	0.11811	BR5271	1	3	BR5271_DMSO_C_1
DDT	Naive	1	1	8	20	71	0.13725490196078433	BR5270	2	3	BR5270_DDT_1_2
DMSO	Naive	1	20	30	4	109	0.09523809523809523	BR5270	2	3	BR5270_DMSO_1_2
DMSO	Naive	2	3	26	12	74	0.3709677419354839	BR5270	2	3	BR5270_DMSO_2_2
DMSO	Naive	3	1	8	6	25	0.3684210526315789	BR5270	2	3	BR5270_DMSO_3_2
DDT	Naive	1	11	42	70	243	0.1791907514450867	BR5270	3	3	BR5270_DDT_1_3
DDT	Naive	2	1	15	11	77	0.21212121212121213	BR5270	3	3	BR5270_DDT_2_3
DDT	Naive	3	0	6	8	33	0.24	BR5270	3	3	BR5270_DDT_3_3
DMSO	Naive	1	10	34	15	117	0.23529411764705882	BR5270	3	3	BR5270_DMSO_1_3
DMSO	Naive	2	3	27	7	78	0.3380281690140845	BR5270	3	3	BR5270_DMSO_2_3
DMSO	Naive	3	2	12	17	40	0.43478260869565216	BR5270	3	2	BR5270_DMSO_3_3
DMSO	Naive	1	14	7	3	24	-0.3333333333333333	N2	2	3	N2_DMSO_1_2
DDT	Naive	A	21	25	13	99	0.046512	N2	3	3	N2_DDT_A_3
DDT	Naive	B	23	9	5	62	-0.24561	N2	3	3	N2_DDT_B_3
DDT	Naive	C	31	22	2	83	-0.11111	N2	3	3	N2_DDT_C_3
DDT	Naive	A	13	31	3	76	0.24658	N2	4	3	N2_DDT_A_4
DDT	Naive	B	18	14	1	61	-0.066667	N2	4	3	N2_DDT_B_4
DMSO	Naive	A	15	55	5	114	0.36697	N2	4	3	N2_DMSO_A_4
DMSO	Naive	C	9	33	1	51	0.48	N2	4	2	N2_DMSO_C_4
DDT	Naive	A	13	31	3	76	0.24658	N2	5	3	N2_DDT_A_5
DDT	Naive	B	18	14	1	61	-0.066667	N2	5	3	N2_DDT_B_5
DMSO	Naive	A	15	55	5	114	0.36697	N2	5	3	N2_DMSO_A_5
DMSO	Naive	C	9	33	1	51	0.48	N2	5	2	N2_DMSO_C_5
DDT	Naive	1	20	13	1	34	-0.21875	N2	1	3	N2_DDT_1_1
DMSO	Naive	1	36	20	12	68	-0.36363636363636365	N2	1	3	N2_DMSO_1_1
DMSO	Naive	2	37	21	9	67	-0.32653061224489793	N2	1	3	N2_DMSO_2_1
DDT	0hr	C	1	51	0	52	0.96154	BR5271	2	2	BR5271_DDT_C_2
DMSO	0hr	A	0	83	0	90	0.92222	BR5271	2	2	BR5271_DMSO_A_2
DMSO	0hr	B	0	208	0	213	0.97653	BR5271	2	2	BR5271_DMSO_B_2
DMSO	0hr	C	1	137	0	142	0.95775	BR5271	2	2	BR5271_DMSO_C_2
DDT	0hr	A	0	106	0	108	0.98148	BR5271	1	2	BR5271_DDT_A_1
