Well	well.group	group	strain	treatment	azide	spare	mito	max	run
B01	B	N2 DDT	N2	DDT	4.652222222	20.51305556	6.914944444	27.428	1
B02	B	N2 DDT	N2	DDT	2.443733333	11.3193	9.621766667	20.94106667	1
B03	B	N2 DDT	N2	DDT	2.224933333	9.708333333	6.534866667	16.2432	1
B04	B	N2 DDT	N2	DDT	2.39173913	8.30326087	10.31673913	18.62	1
B05	B	N2 DDT	N2	DDT	1.56	10.32322917	4.1365625	14.45979167	1
B06	B	N2 DDT	N2	DDT	0.914814815	4.743518519	2.233518519	6.977037037	1
B07	B	N2 DDT	N2	DDT	1.274242424	6.687045455	3.611439394	10.29848485	1
B08	B	N2 DDT	N2	DDT	2.648181818	21.38651515	6.970909091	28.35742424	1
B09	B	N2 DDT	N2	DDT	3.186875	11.87213542	8.28265625	20.15479167	1
B10	B	N2 DDT	N2	DDT	2.405416667	7.9025	2.107083333	10.00958333	1
B11	B	N2 DDT	N2	DDT	2.086888889	15.27755556	4.417111111	19.69466667	1
B12	B	N2 DDT	N2	DDT	2.970714286	10.09809524	10.00214286	20.1002381	1
C01	C	N2 DMSO	N2	DMSO	3.872528736	8.517873563	10.39902299	18.91689655	1
C03	C	N2 DMSO	N2	DMSO	4.941538462	9.320320513	16.09942308	25.41974359	1
C04	C	N2 DMSO	N2	DMSO	4.11537037	12.7587037	13.04740741	25.80611111	1
C05	C	N2 DMSO	N2	DMSO	3.326666667	22.51724359	9.971217949	32.48846154	1
C06	C	N2 DMSO	N2	DMSO	3.846333333	22.05625	8.836416667	30.89266667	1
C07	C	N2 DMSO	N2	DMSO	2.81122807	18.44736842	10.7945614	29.24192982	1
C08	C	N2 DMSO	N2	DMSO	4.359565217	13.8223913	11.4923913	25.31478261	1
C09	C	N2 DMSO	N2	DMSO	4.819487179	11.36115385	9.956282051	21.3174359	1
C10	C	N2 DMSO	N2	DMSO	4.194666667	15.88116667	7.587833333	23.469	1
C11	C	N2 DMSO	N2	DMSO	4.72	7.660833333	5.7555	13.41633333	1
C12	C	N2 DMSO	N2	DMSO	5.950588235	10.27622549	8.459852941	18.73607843	1
B01	B	N2 DMSO	N2	DMSO	8.387142857	12.10541667	11.42982143	23.5352381	2
B02	B	N2 DMSO	N2	DMSO	3.520714286	19.30583333	9.8475	29.15333333	2
B03	B	N2 DMSO	N2	DMSO	4.361555556	18.54594444	2.485611111	21.03155556	2
E01	E	N2 DDT	N2	DDT	2.32	6.099583333	9.772638889	15.87222222	2
B01	B	N2 DMSO	N2	DMSO	3.851428571	26.78071429	9.209285714	35.99	3
B02	B	N2 DMSO	N2	DMSO	2.974166667	17.53104167	3.879583333	21.410625	3
B03	B	N2 DMSO	N2	DMSO	2.801428571	22.11172619	5.312321429	27.42404762	3
B04	B	N2 DMSO	N2	DMSO	3.323571429	12.59964286	4.409642857	17.00928571	3
E01	E	N2 DDT	N2	DDT	1.547777778	1.969537037	3.179722222	5.149259259	3
E02	E	N2 DDT	N2	DDT	2.735833333	9.185208333	1.478541667	10.66375	3
E03	E	N2 DDT	N2	DDT	1.053333333	2.037916667	2.042916667	4.080833333	3
E04	E	N2 DDT	N2	DDT	0.685555556	6.390277778	1.028611111	7.418888889	3
B01	B	N2 DMSO	N2	DMSO	5.296923077	12.36647436	14.49711538	26.86358974	4
B02	B	N2 DMSO	N2	DMSO	5.496363636	12.13068182	19.03477273	31.16545455	4
B03	B	N2 DMSO	N2	DMSO	5.196153846	8.611987179	15.75442308	24.36641026	4
B04	B	N2 DMSO	N2	DMSO	4.745217391	4.464963768	13.07358696	17.53855072	4
B05	B	N2 DMSO	N2	DMSO	5.387419355	0.909650538	16.34185484	17.25150538	4
B06	B	N2 DMSO	N2	DMSO	5.45655914	2.711478495	15.65110215	18.36258065	4
B08	B	N2 DMSO	N2	DMSO	5.540967742	2.528387097	15.52225806	18.05064516	4
B10	B	N2 DMSO	N2	DMSO	4.648888889	8.798666667	11.40777778	20.20644444	4
E01	E	N2 DDT	N2	DDT	2.4116	17.65156667	5.9927	23.64426667	4
E02	E	N2 DDT	N2	DDT	2.136190476	5.698928571	4.359642857	10.05857143	4
E03	E	N2 DDT	N2	DDT	2.9815	6.351458333	5.152375	11.50383333	4
E04	E	N2 DDT	N2	DDT	2.259166667	4.942125	8.009708333	12.95183333	4
E05	E	N2 DDT	N2	DDT	1.624027778	6.929652778	5.367847222	12.2975	4
E06	E	N2 DDT	N2	DDT	2.133958333	4.029479167	8.588854167	12.61833333	4
E07	E	N2 DDT	N2	DDT	1.908266667	12.6487	6.787833333	19.43653333	4
E08	E	N2 DDT	N2	DDT	1.167833333	3.034666667	6.055666667	9.090333333	4
E09	E	N2 DDT	N2	DDT	2.0908	9.249333333	2.72	11.96933333	4
E10	E	N2 DDT	N2	DDT	1.132333333	-0.349666667	4.563166667	4.2135	4
E11	E	N2 DDT	N2	DDT	3.163333333	9.221730769	1.808012821	11.02974359	4
E12	E	N2 DDT	N2	DDT	2.0585	7.689333333	7.5735	15.26283333	4
B01	NA	N2 DMSO	N2	DMSO	3.707692308	17.4275	14.67326923	32.10076923	5
B02	NA	N2 DMSO	N2	DMSO	5.298166667	6.747458333	18.55120833	25.29866667	5
B03	NA	N2 DMSO	N2	DMSO	5.519166667	26.675625	26.97145833	53.64708333	5
B04	NA	N2 DMSO	N2	DMSO	4.315686275	9.870637255	21.0097549	30.88039216	5
B05	NA	N2 DMSO	N2	DMSO	4.694861111	3.291527778	18.89430556	22.18583333	5
B06	NA	N2 DMSO	N2	DMSO	4.432777778	6.822430556	17.41243056	24.23486111	5
B07	NA	N2 DMSO	N2	DMSO	5.310634921	4.209920635	15.70055556	19.91047619	5
B08	NA	N2 DMSO	N2	DMSO	6.697017544	10.42855263	15.70653509	26.13508772	5
B09	NA	N2 DMSO	N2	DMSO	5.809166667	13.05930556	22.14208333	35.20138889	5
B10	NA	N2 DMSO	N2	DMSO	5.570277778	12.09590278	12.18409722	24.28	5
B11	NA	N2 DMSO	N2	DMSO	4.94797619	0.173095238	19.93809524	20.11119048	5
B12	NA	N2 DMSO	N2	DMSO	5.264561404	8.600219298	15.60030702	24.20052632	5
E01	NA	N2 DDT	N2	DDT	2.437777778	7.012777778	9.276388889	16.28916667	5
E02	NA	N2 DDT	N2	DDT	2.508571429	-0.357857143	13.56785714	13.21	5
E03	NA	N2 DDT	N2	DDT	1.85	5.858846154	6.171153846	12.03	5
E04	NA	N2 DDT	N2	DDT	1.144666667	10.51983333	7.776833333	18.29666667	5
E05	NA	N2 DDT	N2	DDT	0.785	0.170833333	11.3175	11.48833333	5
E06	NA	N2 DDT	N2	DDT	3.019848485	4.120643939	10.63890152	14.75954545	5
E08	NA	N2 DDT	N2	DDT	1.556410256	2.205384615	11.16205128	13.3674359	5
E09	NA	N2 DDT	N2	DDT	3.189122807	4.13004386	5.547850877	9.677894737	5
E10	NA	N2 DDT	N2	DDT	1.839047619	-2.456071429	12.30702381	9.850952381	5
E11	NA	N2 DDT	N2	DDT	2.668	9.510333333	8.431	17.94133333	5
E12	NA	N2 DDT	N2	DDT	5.595	0.116666667	5.085	5.201666667	5
B01	NA	N2 DMSO	N2	DMSO	4.884	35.71983333	10.4275	46.14733333	7
B02	NA	N2 DMSO	N2	DMSO	6.102222222	30.86592593	22.11444444	52.98037037	7
B04	NA	N2 DMSO	N2	DMSO	8.617619048	29.29357143	7.818809524	37.11238095	7
B05	NA	N2 DMSO	N2	DMSO	4.029166667	-2.466666667	15.81583333	13.34916667	7
B07	NA	N2 DMSO	N2	DMSO	6.342833333	1.568041667	23.46279167	25.03083333	7
B08	NA	N2 DMSO	N2	DMSO	6.011111111	-6.075625	20.64284722	14.56722222	7
B09	NA	N2 DMSO	N2	DMSO	5.362222222	22.27930556	16.73569444	39.015	7
B10	NA	N2 DMSO	N2	DMSO	7.04547619	10.68720238	12.5289881	23.21619048	7
B11	NA	N2 DMSO	N2	DMSO	4.094848485	21.40757576	15.10424242	36.51181818	7
B12	NA	N2 DMSO	N2	DMSO	7.054102564	16.16346154	13.12935897	29.29282051	7
E01	NA	N2 DDT	N2	DDT	-2.173055556	2.932083333	5.280138889	8.212222222	7
E02	NA	N2 DDT	N2	DDT	1.172857143	9.476309524	2.803214286	12.27952381	7
E03	NA	N2 DDT	N2	DDT	1.29	15.47183333	2.2775	17.74933333	7
E04	NA	N2 DDT	N2	DDT	0.659393939	0.021060606	3.933787879	3.954848485	7
E05	NA	N2 DDT	N2	DDT	0.553333333	0.671190476	4.163095238	4.834285714	7
E06	NA	N2 DDT	N2	DDT	0.585833333	0.703645833	2.520104167	3.22375	7
E07	NA	N2 DDT	N2	DDT	0.760606061	1.614621212	5.92780303	7.542424242	7
E09	NA	N2 DDT	N2	DDT	2.258666667	2.58925	2.771083333	5.360333333	7
E10	NA	N2 DDT	N2	DDT	0.949166667	-1.40875	5.068333333	3.659583333	7
E11	NA	N2 DDT	N2	DDT	2.247666667	1.175416667	6.366583333	7.542	7
E12	NA	N2 DDT	N2	DDT	2.038333333	0.014861111	5.78625	5.801111111	7
C01	C	161 DMSO	161	DMSO	1.808	4.024277778	9.2955	13.31977778	4
C02	C	161 DMSO	161	DMSO	1.687777778	1.075895062	7.8525	8.928395062	4
C03	C	161 DMSO	161	DMSO	2.551666667	3.243055556	7.9375	11.18055556	4
C04	C	161 DMSO	161	DMSO	1.866547619	3.207946429	7.736577381	10.94452381	4
C05	C	161 DMSO	161	DMSO	1.956666667	11.78194444	4.56375	16.34569444	4
C06	C	161 DMSO	161	DMSO	1.957948718	1.965288462	8.490608974	10.45589744	4
C07	C	161 DMSO	161	DMSO	2.183846154	15.82833333	6.644230769	22.4725641	4
C08	C	161 DMSO	161	DMSO	1.767555556	19.09205556	8.885277778	27.97733333	4
C09	C	161 DMSO	161	DMSO	1.946888889	8.339888889	4.656111111	12.996	4
C10	C	161 DMSO	161	DMSO	1.287592593	7.796805556	5.253935185	13.05074074	4
F01	F	161 DDT	161	DDT	0.952	10.65333333	3.421333333	14.07466667	4
F02	F	161 DDT	161	DDT	1.056785714	6.958720238	5.071875	12.03059524	4
F03	F	161 DDT	161	DDT	0.929761905	9.679553571	5.001041667	14.68059524	4
F04	F	161 DDT	161	DDT	1.289206349	8.846031746	3.385555556	12.2315873	4
F05	F	161 DDT	161	DDT	0.920869565	5.196304348	3.977608696	9.173913043	4
F06	F	161 DDT	161	DDT	0.804561404	7.501929825	2.749122807	10.25105263	4
F07	F	161 DDT	161	DDT	1.217820513	4.225801282	4.290737179	8.516538462	4
F08	F	161 DDT	161	DDT	1.305833333	0.646166667	4.830666667	5.476833333	4
F09	F	161 DDT	161	DDT	1.0425	8.645052083	5.65328125	14.29833333	4
F10	F	161 DDT	161	DDT	0.597435897	-1.951410256	5.318333333	3.366923077	4
C01	NA	161 DMSO	161	DMSO	2.164583333	10.369375	5.893541667	16.26291667	5
C02	NA	161 DMSO	161	DMSO	1.358666667	4.210666667	4.491333333	8.702	5
C03	NA	161 DMSO	161	DMSO	1.903666667	7.21475	9.144583333	16.35933333	5
C04	NA	161 DMSO	161	DMSO	1.549166667	2.0840625	7.429270833	9.513333333	5
C05	NA	161 DMSO	161	DMSO	2.776	9.214833333	10.0805	19.29533333	5
C06	NA	161 DMSO	161	DMSO	1.002777778	4.016041667	5.250347222	9.266388889	5
F01	NA	161 DDT	161	DDT	2.069444444	3.21625	7.887638889	11.10388889	5
F03	NA	161 DDT	161	DDT	4.466666667	5.869861111	4.439583333	10.30944444	5
F04	NA	161 DDT	161	DDT	0.821666667	5.570520833	5.128645833	10.69916667	5
F05	NA	161 DDT	161	DDT	0.759	7.664	3.952	11.616	5
F06	NA	161 DDT	161	DDT	0.30875	2.81625	2.7625	5.57875	5
D01	NA	161 DMSO	161	DMSO	2.157333333	-1.326888889	10.598	9.271111111	7
D02	NA	161 DMSO	161	DMSO	-0.547619048	-5.022142857	10.85119048	5.829047619	7
D03	NA	161 DMSO	161	DMSO	1.447777778	14.69861111	10.59805556	25.29666667	7
