Measurement	Well	Group	Time	OCR
1	A01	Background	0.78	0.00
1	A02	Background	0.78	0.00
1	A03	Background	0.78	0.00
1	A04	Background	0.78	0.00
1	A05	Background	0.78	0.00
1	A06	Background	0.78	0.00
1	A07	Background	0.78	0.00
1	A08	Background	0.78	0.00
1	A09	Background	0.78	0.00
1	A10	Background	0.78	0.00
1	A11	Background	0.78	0.00
1	A12	Background	0.78	0.00
1	B01	WT Control	0.78	213.21
1	B02	WT Control	0.78	381.11
1	B03	WT Control	0.78	205.45
1	B04	WT Control	0.78	395.24
1	B05	WT Control	0.78	408.19
1	B06	WT Control	0.78	387.98
1	B07	WT Control	0.78	478.41
1	B08	WT Control	0.78	459.25
1	B09	WT Control	0.78	421.05
1	B10	WT Control	0.78	259.35
1	B11	WT Control	0.78	388.01
1	B12	WT Control	0.78	319.28
1	C01	161 Control	0.78	85.98
1	C02	161 Control	0.78	23.54
1	C03	161 Control	0.78	125.00
1	C04	161 Control	0.78	70.91
1	C05	161 Control	0.78	121.34
1	C06	161 Control	0.78	73.28
1	C07	mev-1 Control	0.78	118.94
1	C08	mev-1 Control	0.78	148.85
1	C09	mev-1 Control	0.78	121.01
1	C10	mev-1 Control	0.78	123.61
1	C11	mev-1 Control	0.78	257.65
1	C12	mev-1 Control	0.78	311.49
1	D01	162 Control	0.78	366.87
1	D02	162 Control	0.78	148.83
1	D03	162 Control	0.78	91.73
1	D04	162 Control	0.78	283.77
1	D05	162 Control	0.78	716.32
1	D06	162 Control	0.78	56.07
1	D07	162 Control	0.78	279.34
1	D08	162 Control	0.78	288.70
1	D09	162 Control	0.78	520.81
1	D10	162 Control	0.78	349.50
1	D11	162 Control	0.78	486.35
1	D12	162 Control	0.78	146.31
1	E01	WT DDT	0.78	208.39
1	E02	WT DDT	0.78	201.74
1	E03	WT DDT	0.78	143.32
1	E04	WT DDT	0.78	155.79
1	E05	WT DDT	0.78	85.34
1	E06	WT DDT	0.78	319.40
1	E07	WT DDT	0.78	497.28
1	E08	WT DDT	0.78	106.78
1	E09	WT DDT	0.78	156.99
1	E10	WT DDT	0.78	106.92
1	E11	WT DDT	0.78	69.61
1	E12	WT DDT	0.78	34.35
1	F01	161 DDT	0.78	60.26
1	F02	161 DDT	0.78	15.55
1	F03	161 DDT	0.78	49.91
1	F04	161 DDT	0.78	57.57
1	F05	161 DDT	0.78	38.99
1	F06	161 DDT	0.78	20.70
1	F07	mev-1 DDT	0.78	26.93
1	F08	mev-1 DDT	0.78	17.52
1	F09	mev-1 DDT	0.78	22.46
1	F10	mev-1 DDT	0.78	14.65
1	F11	mev-1 DDT	0.78	31.49
1	F12	mev-1 DDT	0.78	13.31
1	G01	162 DDT	0.78	189.80
1	G02	162 DDT	0.78	57.32
1	G03	162 DDT	0.78	74.33
1	G04	162 DDT	0.78	85.03
1	G05	162 DDT	0.78	63.89
1	G06	162 DDT	0.78	49.82
1	G07	162 DDT	0.78	154.06
1	G08	162 DDT	0.78	256.20
1	G09	162 DDT	0.78	89.24
1	G10	162 DDT	0.78	52.50
1	G11	162 DDT	0.78	140.26
1	G12	162 DDT	0.78	135.82
1	H01	Background	0.78	0.00
1	H02	Background	0.78	0.00
1	H03	Background	0.78	0.00
1	H04	Background	0.78	0.00
1	H05	Background	0.78	0.00
1	H06	Background	0.78	0.00
1	H07	Background	0.78	0.00
1	H08	Background	0.78	0.00
1	H09	Background	0.78	0.00
1	H10	Background	0.78	0.00
1	H11	Background	0.78	0.00
1	H12	Background	0.78	0.00
2	A01	Background	5.75	0.00
2	A02	Background	5.75	0.00
2	A03	Background	5.75	0.00
2	A04	Background	5.75	0.00
2	A05	Background	5.75	0.00
2	A06	Background	5.75	0.00
2	A07	Background	5.75	0.00
2	A08	Background	5.75	0.00
2	A09	Background	5.75	0.00
2	A10	Background	5.75	0.00
2	A11	Background	5.75	0.00
2	A12	Background	5.75	0.00
2	B01	WT Control	5.75	208.72
2	B02	WT Control	5.75	466.15
2	B03	WT Control	5.75	170.11
2	B04	WT Control	5.75	398.43
2	B05	WT Control	5.75	496.56
2	B06	WT Control	5.75	664.49
2	B07	WT Control	5.75	438.79
2	B08	WT Control	5.75	407.54
2	B09	WT Control	5.75	424.96
2	B10	WT Control	5.75	145.24
2	B11	WT Control	5.75	626.01
2	B12	WT Control	5.75	335.29
2	C01	161 Control	5.75	91.33
2	C02	161 Control	5.75	37.21
2	C03	161 Control	5.75	99.85
2	C04	161 Control	5.75	78.22
2	C05	161 Control	5.75	111.11
2	C06	161 Control	5.75	61.83
2	C07	mev-1 Control	5.75	119.56
2	C08	mev-1 Control	5.75	165.15
2	C09	mev-1 Control	5.75	116.05
