experiment	time	at_risk	dead	censored	total	survival_probability	survival_prob_at_t
N2_A	0	59	0	0	59	1	1
N2_A	2	58	0	1	59	1	1
N2_A	3	57	0	1	58	1	1
N2_A	4	51	5	1	57	0.912280702	0.912280702
N2_A	5	51	0	0	51	1	0.912280702
N2_A	6	51	0	0	51	1	0.912280702
N2_A	8	51	0	0	51	1	0.912280702
N2_A	10	49	0	2	51	1	0.912280702
N2_A	12	49	0	0	49	1	0.912280702
N2_A	14	19	0	30	49	1	0.912280702
N2_A	16	17	2	0	19	0.894736842	0.816251154
N2_A	18	16	0	1	17	1	0.816251154
N2_A	20	13	3	0	16	0.8125	0.663204063
N2_A	22	11	2	0	13	0.846153846	0.561172669
N2_A	24	11	0	0	11	1	0.561172669
N2_A	26	10	1	0	11	0.909090909	0.510156971
N2_A	28	4	6	0	10	0.4	0.204062789
N2_A	31	3	1	0	4	0.75	0.153047091
N2_A	33	1	2	0	3	0.333333333	0.051015697
N2_A	35	1	0	0	1	0.5	0.025507849
N2_A	37	0	1	0	1	0	0
N2_B	0	89	0	0	89	1	1
N2_B	2	89	0	0	89	1	1
N2_B	3	82	0	7	89	1	1
N2_B	4	82	0	0	82	1	1
N2_B	5	79	0	3	82	1	1
N2_B	6	78	1	0	79	0.987341772	0.987341772
N2_B	8	76	0	2	78	1	0.987341772
N2_B	10	73	3	0	76	0.960526316	0.948367755
N2_B	12	69	3	1	73	0.95890411	0.909393738
N2_B	14	51	4	14	69	0.942028986	0.85667526
N2_B	16	49	2	0	51	0.960784314	0.823080152
N2_B	18	47	2	0	49	0.959183674	0.789485044
N2_B	20	34	13	0	47	0.723404255	0.57111684
N2_B	22	22	12	0	34	0.647058824	0.369546191
N2_B	24	19	3	0	22	0.863636364	0.319153528
N2_B	26	12	3	3	18	0.833333333	0.265961274
N2_B	28	4	8	0	12	0.333333333	0.088653758
N2_B	31	2	2	0	4	0.5	0.044326879
N2_B	33	0	2	0	2	0	0
BR5271_A	0	88	0	0	88	1	1
BR5271_A	2	87	0	1	88	1	1
BR5271_A	3	86	0	0	86	1	1
BR5271_A	4	82	3	1	86	0.965116279	0.965116279
BR5271_A	5	73	0	9	82	1	0.965116279
BR5271_A	6	73	0	0	73	1	0.965116279
BR5271_A	8	72	1	0	73	0.98630137	0.951895508
BR5271_A	10	44	1	27	72	0.986111111	0.938674737
BR5271_A	12	42	2	0	44	0.954545455	0.896007704
BR5271_A	14	39	3	0	42	0.928571429	0.832007153
BR5271_A	16	33	6	0	39	0.846153846	0.704006053
BR5271_A	18	27	6	0	33	0.818181818	0.576004952
BR5271_A	20	18	8	1	27	0.703703704	0.405336818
BR5271_A	22	10	7	1	18	0.611111111	0.247705833
BR5271_A	24	5	5	0	10	0.5	0.123852917
BR5271_A	26	3	2	0	5	0.6	0.07431175
BR5271_A	28	1	2	0	3	0.333333333	0.024770583
BR5271_A	31	0	1	0	1	0	0
BR5271_B	0	119	0	0	119	1	1
BR5271_B	2	119	0	0	119	1	1
BR5271_B	3	115	0	4	119	1	1
BR5271_B	4	115	0	0	115	1	1
BR5271_B	5	112	0	3	115	1	1
BR5271_B	6	109	0	3	112	1	1
BR5271_B	8	105	0	4	109	1	1
BR5271_B	10	96	8	1	105	0.923809524	0.923809524
BR5271_B	12	85	10	1	96	0.895833333	0.827579365
BR5271_B	14	76	8	1	85	0.905882353	0.749689543
BR5271_B	16	70	6	0	76	0.921052632	0.690503526
BR5271_B	18	52	18	0	70	0.742857143	0.512945476
BR5271_B	20	31	21	0	52	0.596153846	0.305794419
BR5271_B	22	14	14	3	31	0.548387097	0.167693714
BR5271_B	24	10	4	0	14	0.714285714	0.119781224
BR5271_B	26	8	2	0	10	0.8	0.095824979
BR5271_B	28	2	6	0	8	0.25	0.023956245
BR5271_B	31	0	2	0	2	0	0
BR5270_A	0	55	0	0	55	1	1
BR5270_A	2	40	11	4	55	0.8	0.8
BR5270_A	3	38	2	1	41	0.951219512	0.76097561
BR5270_A	4	34	3	0	37	0.918918919	0.699274885
BR5270_A	5	32	2	0	34	0.941176471	0.658141068
BR5270_A	6	23	7	0	30	0.766666667	0.504574819
BR5270_A	8	17	9	0	26	0.653846154	0.329914305
BR5270_A	10	11	5	0	16	0.6875	0.226816084
