Assay	run	trt	strain	measure	strain.name	assay.name
Wave Init Rate	1	DMSO	N2	100.194386	N2	WaveInitRate
Wave Init Rate	1	DMSO	N2	103.039757	N2	WaveInitRate
Wave Init Rate	1	DMSO	N2	67.681205	N2	WaveInitRate
Wave Init Rate	1	DMSO	N2	133.341	N2	WaveInitRate
Wave Init Rate	1	DMSO	N2	127.994626	N2	WaveInitRate
Wave Init Rate	1	DMSO	N2	111.033797	N2	WaveInitRate
Wave Init Rate	1	DMSO	N2	121.047297	N2	WaveInitRate
Wave Init Rate	1	DMSO	N2	133.542127	N2	WaveInitRate
Wave Init Rate	1	DMSO	N2	117.779125	N2	WaveInitRate
Wave Init Rate	1	DMSO	N2	103.601306	N2	WaveInitRate
Wave Init Rate	1	DMSO	N2	100.054793	N2	WaveInitRate
Wave Init Rate	1	DMSO	N2	NA	N2	WaveInitRate
Wave Init Rate	1	DMSO	N2	NA	N2	WaveInitRate
Wave Init Rate	1	DMSO	N2	NA	N2	WaveInitRate
Wave Init Rate	1	DMSO	N2	NA	N2	WaveInitRate
Wave Init Rate	1	DMSO	N2	NA	N2	WaveInitRate
Body Wave Number	1	DMSO	N2	0.372085	N2	WaveNumber
Body Wave Number	1	DMSO	N2	0.409315	N2	WaveNumber
Body Wave Number	1	DMSO	N2	0.474473	N2	WaveNumber
Body Wave Number	1	DMSO	N2	0.506867	N2	WaveNumber
Body Wave Number	1	DMSO	N2	0.582935	N2	WaveNumber
Body Wave Number	1	DMSO	N2	0.498591	N2	WaveNumber
Body Wave Number	1	DMSO	N2	0.393145	N2	WaveNumber
Body Wave Number	1	DMSO	N2	0.53674	N2	WaveNumber
Body Wave Number	1	DMSO	N2	0.365001	N2	WaveNumber
Body Wave Number	1	DMSO	N2	0.808456	N2	WaveNumber
Body Wave Number	1	DMSO	N2	0.493833	N2	WaveNumber
Body Wave Number	1	DMSO	N2	NA	N2	WaveNumber
Body Wave Number	1	DMSO	N2	NA	N2	WaveNumber
Body Wave Number	1	DMSO	N2	NA	N2	WaveNumber
Body Wave Number	1	DMSO	N2	NA	N2	WaveNumber
Body Wave Number	1	DMSO	N2	NA	N2	WaveNumber
Asymmetry	1	DMSO	N2	0.019808	N2	Asymmetry
Asymmetry	1	DMSO	N2	9.5e-5	N2	Asymmetry
Asymmetry	1	DMSO	N2	5.4e-4	N2	Asymmetry
Asymmetry	1	DMSO	N2	0.009134	N2	Asymmetry
Asymmetry	1	DMSO	N2	3.68e-4	N2	Asymmetry
Asymmetry	1	DMSO	N2	0.008065	N2	Asymmetry
Asymmetry	1	DMSO	N2	-0.001297	N2	Asymmetry
Asymmetry	1	DMSO	N2	4.85e-4	N2	Asymmetry
Asymmetry	1	DMSO	N2	0.002486	N2	Asymmetry
Asymmetry	1	DMSO	N2	-0.012469	N2	Asymmetry
Asymmetry	1	DMSO	N2	0.013198	N2	Asymmetry
Asymmetry	1	DMSO	N2	NA	N2	Asymmetry
Asymmetry	1	DMSO	N2	NA	N2	Asymmetry
Asymmetry	1	DMSO	N2	NA	N2	Asymmetry
Asymmetry	1	DMSO	N2	NA	N2	Asymmetry
Asymmetry	1	DMSO	N2	NA	N2	Asymmetry
Stretch	1	DMSO	N2	0.45313	N2	Stretch
Stretch	1	DMSO	N2	0.382891	N2	Stretch
Stretch	1	DMSO	N2	0.535039	N2	Stretch
Stretch	1	DMSO	N2	0.386756	N2	Stretch
Stretch	1	DMSO	N2	0.390508	N2	Stretch
Stretch	1	DMSO	N2	0.389718	N2	Stretch
Stretch	1	DMSO	N2	0.372712	N2	Stretch
Stretch	1	DMSO	N2	0.303682	N2	Stretch
Stretch	1	DMSO	N2	0.36899	N2	Stretch
Stretch	1	DMSO	N2	0.385058	N2	Stretch
Stretch	1	DMSO	N2	0.38908	N2	Stretch
Stretch	1	DMSO	N2	NA	N2	Stretch
Stretch	1	DMSO	N2	NA	N2	Stretch
Stretch	1	DMSO	N2	NA	N2	Stretch
Stretch	1	DMSO	N2	NA	N2	Stretch
Stretch	1	DMSO	N2	NA	N2	Stretch
Attenuation	1	DMSO	N2	10.07038	N2	Attenuation
Attenuation	1	DMSO	N2	24.547081	N2	Attenuation
Attenuation	1	DMSO	N2	35.63224	N2	Attenuation
Attenuation	1	DMSO	N2	19.722333	N2	Attenuation
Attenuation	1	DMSO	N2	35.96874	N2	Attenuation
Attenuation	1	DMSO	N2	30.970775	N2	Attenuation
Attenuation	1	DMSO	N2	24.666791	N2	Attenuation
Attenuation	1	DMSO	N2	61.54643	N2	Attenuation
Attenuation	1	DMSO	N2	60.512259	N2	Attenuation
Attenuation	1	DMSO	N2	69.153729	N2	Attenuation
Attenuation	1	DMSO	N2	23.47514	N2	Attenuation
Attenuation	1	DMSO	N2	NA	N2	Attenuation
Attenuation	1	DMSO	N2	NA	N2	Attenuation
Attenuation	1	DMSO	N2	NA	N2	Attenuation
Attenuation	1	DMSO	N2	NA	N2	Attenuation
Attenuation	1	DMSO	N2	NA	N2	Attenuation
Reverse Swim	1	DMSO	N2	0	N2	ReverseSwim
Reverse Swim	1	DMSO	N2	0	N2	ReverseSwim
Reverse Swim	1	DMSO	N2	0	N2	ReverseSwim
Reverse Swim	1	DMSO	N2	0	N2	ReverseSwim
Reverse Swim	1	DMSO	N2	0	N2	ReverseSwim
Reverse Swim	1	DMSO	N2	0	N2	ReverseSwim
Reverse Swim	1	DMSO	N2	0	N2	ReverseSwim
Reverse Swim	1	DMSO	N2	0	N2	ReverseSwim
Reverse Swim	1	DMSO	N2	0	N2	ReverseSwim
Reverse Swim	1	DMSO	N2	0	N2	ReverseSwim
Reverse Swim	1	DMSO	N2	0	N2	ReverseSwim
Reverse Swim	1	DMSO	N2	NA	N2	ReverseSwim
Reverse Swim	1	DMSO	N2	NA	N2	ReverseSwim
Reverse Swim	1	DMSO	N2	NA	N2	ReverseSwim
Reverse Swim	1	DMSO	N2	NA	N2	ReverseSwim
Reverse Swim	1	DMSO	N2	NA	N2	ReverseSwim
Curling	1	DMSO	N2	1.281553	N2	Curling
Curling	1	DMSO	N2	0.817121	N2	Curling
Curling	1	DMSO	N2	4.212766	N2	Curling
Curling	1	DMSO	N2	0	N2	Curling
Curling	1	DMSO	N2	1.722488	N2	Curling
Curling	1	DMSO	N2	0	N2	Curling
Curling	1	DMSO	N2	0.918367	N2	Curling
Curling	1	DMSO	N2	0	N2	Curling
Curling	1	DMSO	N2	0.365112	N2	Curling
Curling	1	DMSO	N2	9.061224	N2	Curling
Curling	1	DMSO	N2	0	N2	Curling
Curling	1	DMSO	N2	NA	N2	Curling
Curling	1	DMSO	N2	NA	N2	Curling
Curling	1	DMSO	N2	NA	N2	Curling
Curling	1	DMSO	N2	NA	N2	Curling
Curling	1	DMSO	N2	NA	N2	Curling
Travel Speed	1	DMSO	N2	11.371512	N2	TravelSpeed
